item_id,package,description,room,qty,unit,rate,amount,source_pages,method,confidence,scale_basis,bucket,geometry_refs,infer_reason
FLR-001,flooring,Flooring in Brickwork Plan-Stilt Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-002,wall_finishes,Wall finish in Brickwork Plan-Stilt Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-003,wall_finishes,Ceiling in Brickwork Plan-Stilt Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-004,flooring,Flooring in Brickwork Plan-Ground Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-005,wall_finishes,Wall finish in Brickwork Plan-Ground Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-006,wall_finishes,Ceiling in Brickwork Plan-Ground Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-007,flooring,Flooring in Brickwork Plan-First Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-008,wall_finishes,Wall finish in Brickwork Plan-First Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-009,wall_finishes,Ceiling in Brickwork Plan-First Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-010,flooring,Flooring in Brickwork Plan-Second Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-011,wall_finishes,Wall finish in Brickwork Plan-Second Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-012,wall_finishes,Ceiling in Brickwork Plan-Second Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-013,flooring,Flooring in Brickwork Plan-Third Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-014,wall_finishes,Wall finish in Brickwork Plan-Third Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-015,wall_finishes,Ceiling in Brickwork Plan-Third Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-016,flooring,Flooring in Brickwork Plan-Mezzanine Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-017,wall_finishes,Wall finish in Brickwork Plan-Mezzanine Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-018,wall_finishes,Ceiling in Brickwork Plan-Mezzanine Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-019,flooring,Flooring in Brickwork Plan-Fourth Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-020,wall_finishes,Wall finish in Brickwork Plan-Fourth Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-021,wall_finishes,Ceiling in Brickwork Plan-Fourth Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-022,flooring,Flooring in Brickwork Plan-Terrace Level Plan (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-023,wall_finishes,Wall finish in Brickwork Plan-Terrace Level Plan (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-024,wall_finishes,Ceiling in Brickwork Plan-Terrace Level Plan (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-025,flooring,Flooring in Brickwork Plan-Mumty Level Plan (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-026,wall_finishes,Wall finish in Brickwork Plan-Mumty Level Plan (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-027,wall_finishes,Ceiling in Brickwork Plan-Mumty Level Plan (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-028,flooring,Flooring in Staircase Detail-Stilt To Ground Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-029,wall_finishes,Wall finish in Staircase Detail-Stilt To Ground Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-030,wall_finishes,Ceiling in Staircase Detail-Stilt To Ground Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-031,flooring,Flooring in Staircase Detail-Ground Floor To First Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-032,wall_finishes,Wall finish in Staircase Detail-Ground Floor To First Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-033,wall_finishes,Ceiling in Staircase Detail-Ground Floor To First Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-034,flooring,Flooring in Staircase Detail-First Floor To Second Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-035,wall_finishes,Wall finish in Staircase Detail-First Floor To Second Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-036,wall_finishes,Ceiling in Staircase Detail-First Floor To Second Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-037,flooring,Flooring in Staircase Detail-Second Floor To Third Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-038,wall_finishes,Wall finish in Staircase Detail-Second Floor To Third Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-039,wall_finishes,Ceiling in Staircase Detail-Second Floor To Third Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-040,flooring,Flooring in Staircase Detail-Third Floor To Fourth Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-041,wall_finishes,Wall finish in Staircase Detail-Third Floor To Fourth Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-042,wall_finishes,Ceiling in Staircase Detail-Third Floor To Fourth Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-043,flooring,Flooring in Staircase Detail-Fourth Floor To Terrace Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-044,wall_finishes,Wall finish in Staircase Detail-Fourth Floor To Terrace Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-045,wall_finishes,Ceiling in Staircase Detail-Fourth Floor To Terrace Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-046,flooring,Flooring in Brickwork Plan - Ground Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-047,wall_finishes,Wall finish in Brickwork Plan - Ground Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-048,wall_finishes,Ceiling in Brickwork Plan - Ground Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-049,flooring,Flooring in Brickwork Plan - First Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-050,wall_finishes,Wall finish in Brickwork Plan - First Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-051,wall_finishes,Ceiling in Brickwork Plan - First Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-052,flooring,Flooring in Brickwork Plan - Second Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-053,wall_finishes,Wall finish in Brickwork Plan - Second Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-054,wall_finishes,Ceiling in Brickwork Plan - Second Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-055,flooring,Flooring in Brickwork Plan - Third Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-056,wall_finishes,Wall finish in Brickwork Plan - Third Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-057,wall_finishes,Ceiling in Brickwork Plan - Third Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-058,flooring,Flooring in Brickwork Plan - Fourth Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-059,wall_finishes,Wall finish in Brickwork Plan - Fourth Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-060,wall_finishes,Ceiling in Brickwork Plan - Fourth Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-061,flooring,Flooring in Brickwork Plan - Terrace,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-062,wall_finishes,Wall finish in Brickwork Plan - Terrace,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-063,wall_finishes,Ceiling in Brickwork Plan - Terrace,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-064,flooring,Flooring in Brickwork Plan - Mumty Level Plan,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-065,wall_finishes,Wall finish in Brickwork Plan - Mumty Level Plan,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-066,wall_finishes,Ceiling in Brickwork Plan - Mumty Level Plan,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-067,flooring,Flooring in Terrace Details,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-068,wall_finishes,Wall finish in Terrace Details,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-069,wall_finishes,Ceiling in Terrace Details,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-070,flooring,Flooring in System Consultancy Services,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-071,wall_finishes,Wall finish in System Consultancy Services,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-072,wall_finishes,Ceiling in System Consultancy Services,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WP-073,waterproofing,Waterproofing in System Consultancy Services,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-074,flooring,Flooring in System Consultancy Services,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-075,wall_finishes,Wall finish in System Consultancy Services,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-076,wall_finishes,Ceiling in System Consultancy Services,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WP-077,waterproofing,Waterproofing in System Consultancy Services,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-078,flooring,Flooring in System Consultancy Services,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-079,wall_finishes,Wall finish in System Consultancy Services,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-080,wall_finishes,Ceiling in System Consultancy Services,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WP-081,waterproofing,Waterproofing in System Consultancy Services,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-082,flooring,Flooring in System Consultancy Services,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-083,wall_finishes,Wall finish in System Consultancy Services,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-084,wall_finishes,Ceiling in System Consultancy Services,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WP-085,waterproofing,Waterproofing in System Consultancy Services,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-086,flooring,Flooring in Grid Shall Be,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-087,wall_finishes,Wall finish in Grid Shall Be,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-088,wall_finishes,Ceiling in Grid Shall Be,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-089,flooring,Flooring in New Column Shall,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-090,wall_finishes,Wall finish in New Column Shall,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-091,wall_finishes,Ceiling in New Column Shall,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-092,flooring,Flooring in ( Proposed Corridor),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-093,wall_finishes,Wall finish in ( Proposed Corridor),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-094,wall_finishes,Ceiling in ( Proposed Corridor),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-095,flooring,Flooring in Students Entrance Lobby,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-096,wall_finishes,Wall finish in Students Entrance Lobby,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-097,wall_finishes,Ceiling in Students Entrance Lobby,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-098,flooring,Flooring in Lift Well,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-099,wall_finishes,Wall finish in Lift Well,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-100,wall_finishes,Ceiling in Lift Well,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-101,flooring,Flooring in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-102,wall_finishes,Wall finish in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-103,wall_finishes,Ceiling in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-104,flooring,Flooring in Lift,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-105,wall_finishes,Wall finish in Lift,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-106,wall_finishes,Ceiling in Lift,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-107,flooring,Flooring in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-108,wall_finishes,Wall finish in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-109,wall_finishes,Ceiling in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-110,flooring,Flooring in Lift Well,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-111,wall_finishes,Wall finish in Lift Well,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-112,wall_finishes,Ceiling in Lift Well,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-113,flooring,Flooring in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-114,wall_finishes,Wall finish in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-115,wall_finishes,Ceiling in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-116,flooring,Flooring in Lift,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-117,wall_finishes,Wall finish in Lift,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-118,wall_finishes,Ceiling in Lift,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-119,flooring,Flooring in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-120,wall_finishes,Wall finish in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-121,wall_finishes,Ceiling in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-122,flooring,Flooring in Lift,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-123,wall_finishes,Wall finish in Lift,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-124,wall_finishes,Ceiling in Lift,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-125,flooring,Flooring in Stairs,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-126,wall_finishes,Wall finish in Stairs,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-127,wall_finishes,Ceiling in Stairs,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-128,flooring,Flooring in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-129,wall_finishes,Wall finish in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-130,wall_finishes,Ceiling in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-131,flooring,Flooring in Lift,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-132,wall_finishes,Wall finish in Lift,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-133,wall_finishes,Ceiling in Lift,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-134,flooring,Flooring in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-135,wall_finishes,Wall finish in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-136,wall_finishes,Ceiling in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-137,flooring,Flooring in Lift,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-138,wall_finishes,Wall finish in Lift,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-139,wall_finishes,Ceiling in Lift,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-140,flooring,Flooring in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-141,wall_finishes,Wall finish in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-142,wall_finishes,Ceiling in Staircase,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-143,flooring,Flooring in Lift,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-144,wall_finishes,Wall finish in Lift,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-145,wall_finishes,Ceiling in Lift,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-146,flooring,Flooring in Stairs,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-147,wall_finishes,Wall finish in Stairs,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-148,wall_finishes,Ceiling in Stairs,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-149,flooring,Flooring in 230 Mm Th. Brick Work,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-150,wall_finishes,Wall finish in 230 Mm Th. Brick Work,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-151,wall_finishes,Ceiling in 230 Mm Th. Brick Work,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-152,flooring,Flooring in 115 Mm Th. Brick Work,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-153,wall_finishes,Wall finish in 115 Mm Th. Brick Work,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-154,wall_finishes,Ceiling in 115 Mm Th. Brick Work,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-155,flooring,Flooring in Any Discrepancy In The Drawing Shall Be Brought To The,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-156,wall_finishes,Wall finish in Any Discrepancy In The Drawing Shall Be Brought To The,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-157,wall_finishes,Ceiling in Any Discrepancy In The Drawing Shall Be Brought To The,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-158,flooring,Flooring in Any Discrepancy In The Drawing Shall Be Brought To The,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-159,wall_finishes,Wall finish in Any Discrepancy In The Drawing Shall Be Brought To The,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-160,wall_finishes,Ceiling in Any Discrepancy In The Drawing Shall Be Brought To The,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-161,flooring,Flooring in Entrance Lobby,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-162,wall_finishes,Wall finish in Entrance Lobby,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-163,wall_finishes,Ceiling in Entrance Lobby,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-164,flooring,Flooring in Toilet,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-165,wall_finishes,Wall finish in Toilet,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-166,wall_finishes,Ceiling in Toilet,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WP-167,waterproofing,Waterproofing in Toilet,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-168,flooring,Flooring in Bedroom,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-169,wall_finishes,Wall finish in Bedroom,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-170,wall_finishes,Ceiling in Bedroom,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-171,flooring,Flooring in Kitchen,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-172,wall_finishes,Wall finish in Kitchen,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-173,wall_finishes,Ceiling in Kitchen,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WP-174,waterproofing,Waterproofing in Kitchen,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
